Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Source,Accuracy,Drainage Name,HUC 8 Number,Year,Month,Day,Status,Comments,record_type,disposal,Museum_Cat_No,fresh_marine_intro,Reference 1,Type 1,Date 1,Author 1,Title 1,Publisher 1,Location 1,Reference 2,Type 2,Date 2,Author 2,Title 2,Publisher 2,Location 2,Reference 3,Type 3,Date 3,Author 3,Title 3,Publisher 3,Location 3,Reference 4,Type 4,Date 4,Author 4,Title 4,Publisher 4,Location 4,Reference 5,Type 5,Date 5,Author 5,Title 5,Publisher 5,Location 5,Reference 6,Type 6,Date 6,Author 6,Title 6,Publisher 6,Location 6
1339724,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Eagle Ray Alley",25.0097,-80.3745,reported,Approximate,Floridian,32007000.0,2013,4.0,30.0,established,,NAS sighting report,,,Marine,29536.0,Database,2016.0,,Lionfish data for batch upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339710,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, south of American Shoal",24.52775,-81.51667,reported,Accurate,Floridian,32007000.0,2013,6.0,22.0,established,Depth = 20 ft.,NAS sighting report,,,Marine,29536.0,Database,2016.0,,Lionfish data for batch upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339512,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Gulf of Mexico, Florida, Cutter Rock",28.51632,-82.83223,reported,Approximate,Northern Gulf of Mexico,32004300.0,2013,8.0,8.0,established,,NAS sighting report,,,Marine,29536.0,Database,2016.0,,Lionfish data for batch upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339469,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Dixie Shoals",25.0667,-80.31083,reported,Approximate,Floridian,32007000.0,2013,6.0,23.0,established,Depth = 80 ft.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339484,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Eagle Ray II",24.88212,-80.56107,reported,Accurate,Floridian,32007000.0,2013,7.0,19.0,established,Depth = 53 ft.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339457,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Elbow E-2 on wall of Freeway almost directly across from buoy",25.147,-80.25317,reported,Approximate,Floridian,32007000.0,2013,5.0,4.0,established,Depth = 28 ft.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339499,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, French Reef",25.03408,-80.34921,reported,Approximate,Floridian,32007000.0,2013,4.0,8.0,established,Depth = 50-80 ft. Habitat = reef.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339068,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, French Reef",25.03408,-80.34921,reported,Approximate,Floridian,32007000.0,2013,7.0,2.0,established,Depth = 40 ft. Habitat = reef.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339315,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, French Reef",25.03408,-80.34921,reported,Approximate,Floridian,32007000.0,2013,9.0,7.0,established,Depth=45ft,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339328,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, French Reef Ball 1",25.033,-80.348,reported,Approximate,Floridian,32007000.0,2013,12.0,1.0,established,Depth = 20-25 ft. See voucher photo.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339302,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, French Reef Cavern west of buoy F3",25.033,-80.348,reported,Approximate,Floridian,32007000.0,2013,7.0,13.0,established,Depth = 21 ft.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339342,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, French Reef F1",25.033,-80.348,reported,Approximate,Floridian,32007000.0,2013,3.0,16.0,established,Depth = 35 ft. Habitat = reef.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339417,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, French Reef F4",25.033,-80.348,reported,Approximate,Floridian,32007000.0,2013,10.0,13.0,established,Depth = 20 ft.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339192,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, French Reef F9 Hard Bottom Cave",25.033,-80.348,reported,Approximate,Floridian,32007000.0,2013,7.0,21.0,established,Depth = 40 ft.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339153,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Grecian Rocks, south end",25.10989,-80.30417,reported,Approximate,Floridian,32007000.0,2013,4.0,1.0,established,Depth = 8 ft.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339283,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Spiegel Grove",25.067,-80.311,reported,Accurate,Floridian,32007000.0,2013,1.0,5.0,established,Depth = 90-100 ft. Habitat = wreck.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339257,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Spiegel Grove",25.06667,-80.31084,reported,Approximate,Floridian,32007000.0,2013,7.0,29.0,established,Depth = ~90 ft. Habitat = wreck.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339296,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Spiegel Grove",25.06667,-80.31084,reported,Approximate,Floridian,32007000.0,2013,12.0,28.0,established,Depth = 90 ft. Habitat = wreck.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339270,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Spiegel Grove",25.067,-80.31083,reported,Accurate,Floridian,32007000.0,2013,12.0,29.0,established,Depth = 85 ft. Habitat = wreck.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338707,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Benwood wreck dive site",25.05261,-80.3327,reported,Approximate,Floridian,32007000.0,2013,1.0,19.0,established,Habitat = wreck.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338721,963,Marine Fishes,Scorpaenidae,Pterois volitans/miles,lionfish,United States of America,FL,,"Atlantic Ocean, Florida Keys, Key Largo, Benwood wreck dive site",25.05261,-80.3327,reported,Approximate,Floridian,32007000.0,2013,2.0,27.0,established,Depth = 30-40 ft. Habitat = wreck.,Personal communication,,,Marine,29478.0,Database,2016.0,REEF.,Reef Environmental Education Foundation Volunteer Survey Project Database.,World Wide Web electronic publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
